.maxVal,.nDown,.staircase,.minVal,.stepType,.label,.stepSizes,.nUp,.startVal,.condition,.thisIndex,.thisRepN,.thisN,.direction,.stepSize,.intensity,actual_onset_time,actual_offset_time,intertrial_interval,prestimulus_period,stimulus_presentation_window,poststimulus_waiting_period,correct_answer,answer_choice_position,answer_choice,is_correct,RT,.response,wordlist,gender,date-run,hand,conditions,subject,
None,1,baseline,0.05,db,easy,4,3,2.0,Auditory,0,1,0,start,4,2.0,0.666666666667,1.76777084132,1,1,1,1,send,right,send,True,37.4884181023,True,list2.yaml,male,2017-Jan-19-115312,left,['Auditory'],t,
None,1,baseline,0.05,db,hard,4,1,2.0,Auditory,1,1,1,start,4,2.0,0.3,1.40110417465,1,1,1,1,dried,right,fried,False,46.4082691669,False,list2.yaml,male,2017-Jan-19-115312,left,['Auditory'],t,
None,1,baseline,0.05,db,hard,4,1,2.0,Auditory,1,2,2,up,4,3.16978638492,0.2,1.10091666029,1,1,1,1,drool,NA,NA,False,NA,False,list2.yaml,male,2017-Jan-19-115312,left,['Auditory'],t,
