.maxVal,.nDown,.staircase,.minVal,.nUp,.label,.stepSizes,.startVal,.condition,.thisIndex,.thisRepN,.thisN,.direction,.stepSize,.stepType,.intensity,actual_onset_time,actual_offset_time,intertrial_interval,prestimulus_period,stimulus_presentation_window,poststimulus_waiting_period,correct_answer,answer_choice_position,answer_choice,is_correct,RT,.response,gender,subject,date-run,hand,
1.0,1,baseline,0.05,1,hard,4,1.0,Auditory,1,1,0,start,4,db,1.0,0.133333333333,1.1677083343,1,1,1,1,action,up,action,True,24.3035120964,True,male,STEST,2016-Nov-16-091339,left,
1.0,1,baseline,0.05,3,easy,4,1.0,Auditory,0,1,1,start,4,db,1.0,1.35,2.38437500096,1,1,1,1,coffee,left,coffee,True,33.015681982,True,male,STEST,2016-Nov-16-091339,left,
1.0,1,baseline,0.05,1,hard,4,1.0,Auditory,1,2,2,down,4,db,0.63095734448,1.81666666667,2.75093754438,1,1,1,1,bead,left,bead,True,41.7921071053,True,male,STEST,2016-Nov-16-091339,left,
1.0,1,baseline,0.05,3,easy,4,1.0,Auditory,0,2,3,down,4,db,0.63095734448,0.05,0.984270877709,1,1,1,1,bead,NA,NA,False,NA,False,male,STEST,2016-Nov-16-091339,left,
1.0,1,baseline,0.05,3,easy,4,1.0,Auditory,0,3,4,up,4,db,1.0,1.23333333333,2.2677083343,1,1,1,1,action,left,action,True,61.5207190514,True,male,STEST,2016-Nov-16-091339,left,
1.0,1,baseline,0.05,1,hard,4,1.0,Auditory,1,3,5,down,4,db,0.398107170553,0.0166666666667,1.05104166763,1,1,1,1,coffee,up,coffee,True,70.4330379963,True,male,STEST,2016-Nov-16-091339,left,
