.maxVal,.nDown,.staircase,.minVal,.stepType,.label,.stepSizes,.nUp,.startVal,.condition,.thisIndex,.thisRepN,.thisN,.direction,.stepSize,.intensity,actual_onset_time,actual_offset_time,intertrial_interval,prestimulus_period,stimulus_presentation_window,poststimulus_waiting_period,correct_answer,answer_choice_position,answer_choice,is_correct,RT,.response,wordlist,gender,date-run,hand,conditions,subject,
None,1,baseline,0.05,db,hard,4,1,2.0,Auditory,1,1,0,start,4,2.0,1.23333333333,2.13424999363,1,1,1,1,drool,left,duel,False,28.7509880066,False,list1.yaml,male,2017-Jan-19-120653,left,['Auditory'],y,
None,1,baseline,0.05,db,easy,4,3,2.0,Auditory,0,1,1,start,4,2.0,1.73333333333,2.73433330613,1,1,1,1,brink,right,brink,True,38.2948169708,True,list1.yaml,male,2017-Jan-19-120653,left,['Auditory'],y,
None,1,baseline,0.05,db,easy,4,3,2.0,Auditory,0,2,2,down,4,1.26191468896,0.45,1.6178333132,1,1,1,1,thing,down,wink,False,48.9426019192,False,list1.yaml,male,2017-Jan-19-120653,left,['Auditory'],y,
None,1,baseline,0.05,db,hard,4,1,2.0,Auditory,1,2,3,up,4,3.16978638492,0.116666666667,1.21777084132,1,1,1,1,dried,down,dried,True,58.5903759003,True,list1.yaml,male,2017-Jan-19-120653,left,['Auditory'],y,
None,1,baseline,0.05,db,easy,4,3,2.0,Auditory,0,3,4,up,4,2.0,0.866666666667,2.10125000843,1,1,1,1,sprain,NA,NA,False,NA,False,list1.yaml,male,2017-Jan-19-120653,left,['Auditory'],y,
